iter	Passed	Remaining
0	0	700
1	1	802
2	2	807
3	2	697
4	3	721
5	4	744
6	4	684
7	5	698
8	6	715
9	7	724
10	8	725
11	8	727
12	9	727
13	10	710
14	10	711
15	11	712
16	12	705
17	12	684
18	13	689
19	14	690
20	14	693
21	15	682
22	15	666
23	16	667
24	17	670
25	18	677
26	18	677
27	19	679
28	20	678
29	21	680
30	21	664
31	22	668
32	22	668
33	23	672
34	24	675
35	25	676
36	26	677
37	26	677
38	27	678
39	28	678
40	29	681
41	29	682
42	30	684
43	31	686
44	32	686
45	33	685
46	33	686
47	34	680
48	35	682
49	35	682
50	36	682
51	37	681
52	38	681
53	38	681
54	39	681
55	40	682
56	41	684
57	42	684
58	42	684
59	43	683
60	44	682
61	45	682
62	45	681
63	46	681
64	47	681
65	48	680
66	48	680
67	49	680
68	50	680
69	51	679
70	52	682
71	52	682
72	53	682
73	54	681
74	55	681
75	56	681
76	56	681
77	57	680
78	58	681
79	59	681
80	60	681
81	60	675
82	61	675
83	61	675
84	62	674
85	63	674
86	64	674
87	65	674
88	65	671
89	66	670
90	67	670
91	67	669
92	68	668
93	69	669
94	70	669
95	71	669
96	71	669
97	72	664
98	72	660
99	73	660
100	74	659
101	74	659
102	75	659
103	76	659
104	77	658
105	78	658
106	78	654
107	79	653
108	79	653
109	80	653
110	81	654
111	82	654
112	83	654
113	83	649
114	83	645
115	84	644
116	85	644
117	86	643
118	86	641
119	87	641
120	88	641
121	89	641
122	89	640
123	90	640
124	91	639
125	92	640
126	92	637
127	93	636
128	93	632
129	94	632
130	95	631
131	95	630
132	96	630
133	97	628
134	98	628
135	98	627
136	99	627
137	99	624
138	100	623
139	101	623
140	102	623
141	102	620
142	103	620
143	104	620
144	105	619
145	105	619
146	106	619
147	107	618
148	107	614
149	108	614
150	109	613
151	109	613
152	110	613
153	111	612
154	112	612
155	113	611
156	113	611
157	114	610
158	115	610
159	116	610
160	116	609
161	117	608
162	118	606
163	118	605
164	119	604
165	120	604
166	121	604
167	122	604
168	122	603
169	123	603
170	124	602
171	125	601
172	125	601
173	126	599
174	126	597
175	127	597
176	128	596
177	129	595
178	129	595
179	130	594
180	131	594
181	132	593
182	132	593
183	133	590
184	133	588
185	133	585
186	134	583
187	134	582
188	135	582
189	136	581
190	137	581
191	137	580
192	138	580
193	139	579
194	140	577
195	140	577
196	141	576
197	142	576
198	143	576
199	144	576
200	144	575
201	145	574
202	146	574
203	147	573
204	147	572
205	148	572
206	149	571
207	150	571
208	150	570
209	151	570
210	152	570
211	153	569
212	154	569
213	154	568
214	155	568
215	156	568
216	157	567
217	158	567
218	158	566
219	159	565
220	160	565
221	161	565
222	162	565
223	163	564
224	163	564
225	164	563
226	165	563
227	166	562
228	167	562
229	167	562
230	168	561
231	169	561
232	170	561
233	171	560
234	172	562
235	173	562
236	174	561
237	175	561
238	176	561
239	177	560
240	177	558
241	178	558
242	178	557
243	179	556
244	180	556
245	181	555
246	182	555
247	182	554
248	183	554
249	184	553
250	185	552
251	186	552
252	186	551
253	187	551
254	188	550
255	189	550
256	190	550
257	190	548
258	191	547
259	192	547
260	193	546
261	193	546
262	194	545
263	195	545
264	196	544
265	197	544
